Primer_Name,Total_Appearances,Percentage_of_Total_Reads,Correct_Orientation_Percentage,Size_Compliant_Percentage,Correct_Orientation_and_Size_Percentage
primers1,110,2.15,79.09,79.09,79.09
primers2,13,0.25,76.92,0.0,0.0
