demo_name,title,repo_clone_link,num_steps
getting-started-with-snowpark-in-worksheets-notebooks,Getting Started with Snowpark in Snowflake Notebooks and Python Worksheets,https://github.com/Snowflake-Labs/sfguide-getting-started-with-snowpark-in-worksheets-notebooks,1
enhancing-customer-experiences-using-cortex-finetuning,Enhancing Customer Experiences using Cortex Fine Tuning,https://github.com/Snowflake-Labs/sfguide-enhancing-customer-experiences-using-cortex-finetuning,1
