state_name,area,population,ev_registration_count
Alabama,50645,4903185,2890
Alaska,570641,731545,940
Arizona,113594,7278717,28770
Arkansas,52035,3017804,1330
California,155779,39512223,425300
Colorado,103642,5758736,24670
Connecticut,4842,3565287,9040
Delaware,1949,973764,1950
District of Columbia,61,705749,2360
Florida,53625,21477737,58160
Georgia,57513,10617423,23530
Hawaii,6423,1415872,10670
Idaho,82643,1787065,2300
Illinois,55519,12671821,26000
Indiana,35826,6732219,6990
Iowa,55857,3155070,2260
Kansas,81759,2913314,3130
Kentucky,39486,4467673,2650
Louisiana,43204,4648794,1950
Maine,30843,1344212,1920
Maryland,9707,6045680,17970
Massachusetts,7800,6892503,21010
Michigan,56539,9986857,10620
Minnesota,79627,5639632,10380
Mississippi,46923,2976149,780
Missouri,68742,6137428,6740
Montana,145546,1068778,940
Nebraska,76824,1934408,1810
Nevada,109781,3080156,11040
New Hampshire,8953,1359711,2690
New Jersey,7354,8882190,30420
New Mexico,121298,2096829,2620
New York,47126,19453561,32590
North Carolina,48618,10488084,16190
North Dakota,69001,762062,220
Ohio,40861,11689100,14530
Oklahoma,68595,3956971,3410
Oregon,95988,4217737,22850
Pennsylvania,44743,12801989,17530
Rhode Island,1034,1059361,1580
South Carolina,30061,5148714,4390
South Dakota,75811,884659,410
Tennessee,41235,6829174,7810
Texas,261232,28995881,52190
Utah,82170,3205958,11230
Vermont,9217,623989,2230
Virginia,39490,8535519,20510
Washington,66456,7614893,50520
West Virginia,24038,1792147,600
Wisconsin,54158,5822434,6310
Wyoming,97093,578759,330
